SSN,AGE,GENDER,RACE,ETHNICITY,BMI,SYSTOLIC_BP,DIASTOLIC_BP,GLUCOSE,ICD_PRIMARY,ICD_SECONDARY,ENCOUNTER_TYPE,LOS_DAYS,TOTAL_CLAIM_COST,PAYER_TYPE,CITY,POSTAL_PREFIX
464-24-7636,17,F,White,Non-Hispanic,37.2,142,66,110.1,J06.9,Z96.651,outpatient,4.3,2906.06,OHIP,Newmarket,L5G
641-57-6722,20,M,White,Non-Hispanic,26.0,107,56,91.9,ZZZ999,Z96.651,preventive,6.0,4876.31,OHIP,Barrie,L3G
190-92-1841,41,F,Filipino,Non-Hispanic,31.1,145,78,112.3,I50.9,Z82.49,outpatient,2.5,2856.43,Private,King,L3G
399-55-1645,33,F,White,Non-Hispanic,23.3,118,75,103.9,E11.9,Z87.891,telehealth,1.4,300.13,Private,Barrie,L3G
472-33-4272,57,F,Black,Non-Hispanic,37.4,140,95,148.4,J44.1,Z96.651,outpatient,2.0,105.49,OHIP,Aurora,L3G
830-16-4701,35,M,Other,Non-Hispanic,22.0,122,63,84.3,N39.0,Z79.4,outpatient,1.1,399.86,OHIP,Innisfil,L3G
260-94-6630,26,F,White,Non-Hispanic,22.8,113,80,76.8,Z00.00,Z96.651,outpatient,0.7,1176.58,Workplace,Aurora,L6G
642-46-3556,78,F,White,Non-Hispanic,30.0,154,105,88.1,K92.1,,inpatient,6.0,469.51,OHIP,Richmond Hill,L3G
319-14-5661,47,F,White,Non-Hispanic,20.5,128,72,118.0,,Z96.641,inpatient,0.2,50.0,OHIP,Keswick,L6G
741-11-8413,53,M,White,Non-Hispanic,22.3,125,67,108.3,J06.9,Z87.891,inpatient,0.9,1630.25,OHIP,Barrie,L5G
239-49-2281,26,M,White,Non-Hispanic,36.0,113,72,86.7,E78.5,Z96.641,outpatient,4.6,97.72,OHIP,Newmarket,L6G
716-89-9187,42,M,Latin American,Non-Hispanic,26.5,119,76,88.3,ZZZ999,Z87.891,outpatient,2.6,400.69,OHIP,King,L6G
577-66-1302,53,M,Black,Non-Hispanic,24.6,115,83,81.1,I10,,outpatient,0.1,5391.3,OHIP,Innisfil,L3G
593-45-6763,31,F,South Asian,Non-Hispanic,31.2,126,70,71.8,N39.0,Z79.4,outpatient,0.0,705.48,OHIP,King,L5G
302-33-6978,58,M,White,Non-Hispanic,21.9,120,91,96.5,F41.1,,outpatient,1.5,2421.13,Private,Richmond Hill,L5G
200-71-7090,41,F,Chinese,Non-Hispanic,22.2,122,65,120.9,E66.9,Z82.49,emergency,1.3,1008.46,OHIP,Bradford,L5G
660-96-4362,46,M,Arab,Non-Hispanic,27.6,143,63,194.5,J44.1,Z82.49,outpatient,1.2,198.21,OHIP,King,L4G
471-56-3012,41,M,Chinese,Non-Hispanic,25.3,139,84,104.1,I50.9,,outpatient,0.7,1595.88,OHIP,Innisfil,L6G
176-57-6104,85,F,White,Non-Hispanic,37.7,150,72,86.0,J45.901,Z87.891,outpatient,8.6,616.54,OHIP,Aurora,L3G
595-50-5502,51,F,South Asian,Non-Hispanic,28.5,131,77,73.3,N39.0,Z96.651,outpatient,0.6,111.83,WSIB,Newmarket,L4G
386-30-8623,32,F,White,Non-Hispanic,27.2,143,99,168.0,J44.1,Z96.641,inpatient,1.3,91.43,Private,King,L3G
591-18-7037,66,F,White,Non-Hispanic,24.8,142,81,101.7,N39.0,Z79.4,outpatient,1.0,1053.55,OHIP,Newmarket,L4G
231-86-1996,30,F,White,Non-Hispanic,28.2,120,64,90.3,J06.9,Z96.651,outpatient,0.4,8687.27,OHIP,Bradford,L5G
987-37-6209,55,M,South Asian,Non-Hispanic,33.5,122,81,87.8,J06.9,Z82.49,preventive,0.5,182.82,OHIP,Newmarket,L4G
597-24-9930,16,F,South Asian,Non-Hispanic,27.3,121,69,104.0,N39.0,Z96.651,outpatient,5.0,210.95,OHIP,Bradford,L5G
571-61-5603,28,F,White,Hispanic,24.1,129,73,82.6,J45.901,,outpatient,3.9,1072.08,OHIP,Bradford,L4G
154-46-1899,55,F,White,Non-Hispanic,28.0,127,85,98.6,E11.9,,preventive,0.4,137.45,OHIP,Keswick,L3G
154-21-1462,65,M,White,Hispanic,25.6,139,73,76.7,J44.1,,outpatient,4.2,11213.33,WSIB,Keswick,L3G
796-46-1715,55,F,White,Non-Hispanic,23.7,128,92,128.4,J06.9,,preventive,0.5,235.38,OHIP,East Gwillimbury,L4G
310-16-4611,49,M,White,Non-Hispanic,30.8,131,81,84.7,I10,,outpatient,2.0,365.5,OHIP,Newmarket,L6G
904-93-8356,46,M,White,Non-Hispanic,26.7,104,83,104.7,E66.9,,inpatient,0.2,253.29,OHIP,King,L6G
174-48-4222,25,M,Black,Hispanic,25.7,118,66,77.0,I10,,emergency,4.2,2042.06,OHIP,Newmarket,L4G
535-93-9970,39,M,White,Non-Hispanic,20.2,133,84,92.6,F32.1,Z96.641,preventive,0.1,8907.95,OHIP,Bradford,L6G
933-22-2960,43,F,White,Non-Hispanic,20.1,118,72,108.3,F41.1,,inpatient,1.6,286.03,OHIP,Keswick,L3G
276-24-6813,71,F,White,Non-Hispanic,35.5,144,88,111.5,E11.9,Z82.49,inpatient,3.0,1881.63,Workplace,Georgina,L6G
258-70-9377,58,F,Arab,Non-Hispanic,26.2,126,72,106.4,I50.9,Z87.891,inpatient,0.2,138.78,OHIP,Aurora,L4G
570-69-6428,20,M,South Asian,Non-Hispanic,22.2,120,61,92.9,J06.9,,outpatient,1.0,2103.02,OHIP,Newmarket,L6G
345-70-8160,57,M,South Asian,Non-Hispanic,35.8,136,88,85.0,E11.9,Z79.4,emergency,0.1,5486.43,OHIP,Barrie,L4G
483-51-1284,45,M,White,Non-Hispanic,36.4,124,76,185.2,F41.1,,outpatient,2.3,3800.27,Private,Barrie,L3G
399-14-2459,39,F,South Asian,Non-Hispanic,23.3,138,67,117.6,E11.9,,inpatient,0.7,780.07,OHIP,East Gwillimbury,L5G
468-62-7579,63,M,White,Non-Hispanic,20.6,142,74,187.9,M54.5,Z79.4,inpatient,1.6,192.6,OHIP,Innisfil,L3G
905-53-3228,70,F,South Asian,Non-Hispanic,28.6,134,89,99.3,E11.9,Z82.49,preventive,5.4,665.76,Private,Newmarket,L3G
982-11-5972,68,F,Latin American,Non-Hispanic,33.5,146,80,112.5,E11.9,Z87.891,inpatient,0.7,458.03,OHIP,Newmarket,L4G
793-93-2996,36,M,South Asian,Hispanic,35.4,135,76,103.8,F41.1,,emergency,0.1,389.15,Workplace,Richmond Hill,L3G
829-44-3503,46,F,Filipino,Non-Hispanic,22.8,134,76,168.6,E78.5,,outpatient,2.3,852.23,OHIP,Bradford,L3G
191-88-9630,57,F,Black,Non-Hispanic,22.6,115,63,106.2,I10,Z96.641,outpatient,3.1,614.09,OHIP,Innisfil,L6G
597-81-3698,69,F,White,Non-Hispanic,20.2,145,69,85.7,N39.0,Z79.4,inpatient,6.3,1555.28,OHIP,Bradford,L4G
640-78-6310,43,F,Latin American,Non-Hispanic,23.6,121,78,71.7,I50.9,,inpatient,0.3,1567.46,OHIP,Bradford,L6G
146-16-1063,48,M,White,Non-Hispanic,22.3,124,70,116.2,F41.1,Z82.49,inpatient,1.0,616.86,OHIP,King,L4G
949-73-1859,32,M,South Asian,Non-Hispanic,39.3,156,86,86.9,F32.1,Z79.4,emergency,3.7,1117.34,OHIP,Aurora,L6G
879-21-3076,30,F,White,Non-Hispanic,34.4,130,83,90.4,F41.1,,outpatient,3.3,3247.57,OHIP,Newmarket,L6G
750-62-7085,66,F,White,Non-Hispanic,27.2,134,88,91.8,M54.5,,inpatient,2.0,351.45,Workplace,Innisfil,L5G
696-83-1762,76,M,White,Non-Hispanic,26.3,119,99,86.0,K21.0,,outpatient,0.6,677.95,OHIP,King,L3G
835-56-8584,50,F,White,Non-Hispanic,24.1,143,77,111.5,E66.9,Z87.891,outpatient,0.7,193.63,OHIP,Keswick,L6G
692-76-5728,70,F,White,Non-Hispanic,20.5,122,86,150.1,I10,Z96.641,outpatient,0.3,1183.03,OHIP,Georgina,L5G
654-27-8241,58,F,South Asian,Hispanic,29.1,125,76,90.4,E11.9,,emergency,5.1,844.05,OHIP,Bradford,L6G
152-48-1673,40,M,White,Non-Hispanic,29.7,125,96,229.5,J44.1,Z87.891,inpatient,0.4,1156.37,OHIP,East Gwillimbury,L6G
648-50-1895,58,F,White,Non-Hispanic,24.5,147,95,99.6,E11.9,,outpatient,1.7,203.03,Private,Barrie,L5G
621-49-1913,79,F,South Asian,Non-Hispanic,38.8,156,89,58.2,I10,,inpatient,1.8,1666.83,OHIP,Innisfil,L5G
252-50-5865,51,M,White,Non-Hispanic,30.1,131,82,144.9,E78.5,Z96.651,outpatient,0.9,751.77,OHIP,Richmond Hill,L5G
310-83-7576,80,M,Black,Non-Hispanic,20.0,143,94,115.1,F32.1,Z87.891,preventive,0.9,2287.92,OHIP,Newmarket,L3G
806-62-2522,4,F,South Asian,Non-Hispanic,22.8,104,64,96.0,J44.1,Z87.891,inpatient,2.2,393.36,OHIP,Barrie,L3G
381-63-3802,66,M,Chinese,Non-Hispanic,35.1,143,79,113.1,J44.1,Z79.4,outpatient,1.0,1508.53,Private,King,L6G
150-34-2649,53,F,South Asian,Non-Hispanic,22.6,131,85,76.6,I10,,telehealth,0.6,1134.6,OHIP,Barrie,L3G
372-83-2143,46,F,White,Non-Hispanic,23.3,137,77,162.3,F32.1,Z87.891,outpatient,1.0,4144.68,OHIP,Newmarket,L5G
800-55-4314,53,M,South Asian,Non-Hispanic,23.7,140,79,111.5,N39.0,Z82.49,emergency,3.3,578.49,OHIP,Barrie,L4G
410-59-8591,16,F,White,Non-Hispanic,23.8,121,62,102.1,E11.9,,outpatient,6.8,341.77,OHIP,Keswick,L3G
147-65-9199,48,M,White,Non-Hispanic,39.5,133,68,86.0,E66.9,Z79.4,outpatient,2.0,367.77,OHIP,Richmond Hill,L5G
625-96-6489,58,F,Chinese,Non-Hispanic,35.7,146,85,83.5,F32.1,Z79.4,emergency,3.0,175.92,Private,East Gwillimbury,L5G
539-63-8651,78,M,White,Non-Hispanic,21.8,139,91,93.9,Z00.00,Z96.651,outpatient,1.5,363.69,Private,Innisfil,L5G
372-54-3771,42,F,Chinese,Non-Hispanic,35.6,121,77,113.0,E11.9,,preventive,2.0,50.0,OHIP,Newmarket,L5G
733-29-4410,37,M,Chinese,Non-Hispanic,26.9,122,86,75.3,E78.5,,outpatient,8.9,3437.57,Private,Barrie,L6G
120-89-9224,42,M,Filipino,Non-Hispanic,17.7,124,68,95.2,N39.0,Z82.49,outpatient,1.2,6774.07,OHIP,Richmond Hill,L5G
232-33-2726,68,F,Latin American,Non-Hispanic,26.0,147,74,106.0,I50.9,,inpatient,0.1,557.19,OHIP,Newmarket,L5G
125-98-3065,57,M,White,Non-Hispanic,28.2,133,80,108.9,J06.9,Z87.891,outpatient,6.3,1125.21,OHIP,Richmond Hill,L6G
373-47-2050,42,F,White,Non-Hispanic,23.1,114,74,106.0,E66.9,Z96.651,inpatient,3.2,809.82,OHIP,Barrie,L3G
916-59-7030,61,M,South Asian,Hispanic,34.4,140,89,73.7,N39.0,Z82.49,preventive,1.0,137.6,OHIP,Bradford,L4G
207-86-6043,53,F,White,Non-Hispanic,22.9,131,71,112.0,I50.9,Z96.651,emergency,8.1,2279.04,Private,Innisfil,L6G
837-77-4602,69,M,South Asian,Non-Hispanic,23.8,139,93,96.0,F41.1,,outpatient,0.8,2725.86,OHIP,Aurora,L6G
834-34-6963,39,F,Black,Non-Hispanic,21.0,133,89,78.7,K21.0,Z96.641,emergency,0.9,190.72,Workplace,Aurora,L3G
431-34-2060,46,M,South Asian,Non-Hispanic,25.0,139,76,94.6,M54.5,,telehealth,1.9,988.18,Private,Innisfil,L3G
447-52-2149,44,M,White,Non-Hispanic,28.6,123,87,65.6,I10,Z87.891,outpatient,0.6,485.26,OHIP,Bradford,L5G
108-23-8492,25,M,White,Hispanic,26.0,114,63,103.7,J45.901,Z96.651,inpatient,2.4,2773.61,Private,Newmarket,L3G
283-35-6969,57,M,White,Hispanic,37.4,129,92,93.1,M54.5,Z96.641,outpatient,0.3,602.18,OHIP,Richmond Hill,L4G
969-30-4448,56,F,White,Non-Hispanic,33.0,143,90,75.9,N39.0,Z87.891,preventive,0.2,622.07,OHIP,Bradford,L6G
394-89-6049,52,M,Latin American,Hispanic,23.0,144,84,90.6,E11.9,Z96.651,emergency,1.5,5913.86,OHIP,Aurora,L4G
168-84-4508,47,F,White,Hispanic,28.2,127,78,84.4,M54.5,Z96.651,preventive,1.6,142.24,OHIP,Newmarket,L5G
400-36-7797,26,M,White,Non-Hispanic,25.5,118,50,85.3,K21.0,,telehealth,0.2,895.75,OHIP,King,L4G
652-83-5905,44,M,White,Non-Hispanic,22.4,141,70,61.1,ZZZ999,,outpatient,6.7,739.8,OHIP,Bradford,L5G
733-60-4082,45,F,South Asian,Non-Hispanic,25.5,133,71,174.0,F32.1,Z96.651,outpatient,1.7,322.36,Private,Aurora,L4G
758-97-1459,37,F,South Asian,Non-Hispanic,41.4,137,71,91.6,I10,Z96.651,outpatient,0.3,7690.84,OHIP,East Gwillimbury,L6G
914-23-3626,49,M,White,Non-Hispanic,26.4,118,79,89.0,I10,Z79.4,outpatient,0.7,996.11,OHIP,Barrie,L4G
791-41-1463,59,M,White,Non-Hispanic,23.9,140,76,109.6,K21.0,,inpatient,3.2,1489.4,OHIP,Richmond Hill,L3G
621-26-7384,85,M,White,Hispanic,23.5,134,79,85.5,I10,Z96.651,emergency,1.5,1767.86,OHIP,Keswick,L4G
754-48-8736,55,F,White,Non-Hispanic,22.9,120,70,87.1,N39.0,,outpatient,0.4,452.58,OHIP,Newmarket,L6G
749-80-3926,56,F,South Asian,Non-Hispanic,27.5,130,74,87.8,J06.9,Z79.4,inpatient,0.2,2951.64,Workplace,East Gwillimbury,L5G
475-25-8542,50,M,South Asian,Non-Hispanic,22.1,123,86,92.0,E66.9,Z79.4,emergency,1.1,2318.42,OHIP,Barrie,L4G
433-12-8410,17,F,White,Hispanic,24.1,114,64,96.4,E11.9,,outpatient,0.8,574.49,OHIP,Keswick,L4G
719-60-8025,51,F,White,Hispanic,24.2,116,73,88.9,E11.9,Z96.641,outpatient,2.1,2050.67,Workplace,East Gwillimbury,L3G
449-55-6814,53,F,Other,Non-Hispanic,22.5,140,74,103.6,M54.5,Z87.891,inpatient,5.2,2945.17,Workplace,Bradford,L5G
460-35-7219,95,F,White,Non-Hispanic,19.9,157,90,129.5,M54.5,Z79.4,outpatient,0.6,1726.95,OHIP,Barrie,L5G
855-90-5547,48,M,South Asian,Non-Hispanic,36.5,115,84,157.0,E11.9,Z82.49,telehealth,3.9,244.14,OHIP,Barrie,L5G
854-67-4661,57,M,White,Non-Hispanic,34.3,147,58,100.9,I50.9,Z79.4,outpatient,5.1,595.36,Private,Aurora,L6G
769-57-1051,51,M,White,Non-Hispanic,25.5,123,86,95.4,M54.5,,emergency,4.6,1176.67,Self-pay,Georgina,L6G
389-69-4330,30,M,White,Non-Hispanic,22.4,129,83,136.8,J44.1,Z82.49,inpatient,6.1,900.13,OHIP,Barrie,L3G
423-20-7028,72,F,White,Non-Hispanic,27.7,139,75,98.0,I10,,outpatient,3.7,272.0,OHIP,Aurora,L4G
917-91-9978,65,F,Other,Non-Hispanic,21.4,134,72,84.1,J45.901,,outpatient,1.8,471.6,OHIP,King,L6G
655-42-8792,66,M,White,Non-Hispanic,30.1,137,79,77.5,I10,,outpatient,1.1,1014.59,OHIP,East Gwillimbury,L5G
838-74-3210,35,M,White,Non-Hispanic,18.8,133,66,141.3,E11.9,Z96.641,outpatient,1.4,108.74,WSIB,Keswick,L4G
263-47-3712,77,M,White,Non-Hispanic,32.1,132,88,78.7,I10,Z82.49,outpatient,4.1,680.75,OHIP,Richmond Hill,L4G
419-22-7469,26,F,White,Non-Hispanic,25.4,127,56,112.8,N39.0,Z96.641,inpatient,0.7,1534.52,Self-pay,Keswick,L4G
686-10-7343,62,M,White,Non-Hispanic,21.6,144,71,103.3,I50.9,Z96.641,inpatient,0.3,934.05,OHIP,Newmarket,L3G
537-18-9355,91,F,White,Non-Hispanic,25.3,154,100,149.8,J44.1,Z96.641,inpatient,0.3,237.7,Workplace,Newmarket,L6G
212-46-1105,34,M,Black,Non-Hispanic,27.8,148,67,186.0,E11.9,Z82.49,outpatient,3.5,293.59,OHIP,Barrie,L6G
798-30-1698,41,M,White,Non-Hispanic,17.3,117,83,105.1,I10,Z82.49,inpatient,2.9,3961.56,Private,Barrie,L4G
895-80-9938,53,F,White,Non-Hispanic,25.5,141,81,119.3,N39.0,Z96.641,outpatient,1.4,215.9,Self-pay,Barrie,L3G
719-18-4491,42,F,Latin American,Non-Hispanic,38.4,132,65,88.6,I10,,preventive,0.6,2759.49,OHIP,King,L3G
325-43-1208,24,M,White,Non-Hispanic,35.5,137,79,83.9,F41.1,Z96.641,preventive,2.3,315.58,OHIP,Innisfil,L6G
344-41-8233,53,F,Arab,Non-Hispanic,28.9,133,78,107.6,E11.9,,emergency,0.1,2581.71,OHIP,Richmond Hill,L6G
967-34-4506,32,F,White,Hispanic,22.3,118,69,102.0,E11.9,Z87.891,emergency,1.7,1273.25,OHIP,Innisfil,L3G
802-54-7645,60,F,Filipino,Non-Hispanic,20.5,145,81,87.0,E11.9,,outpatient,1.0,438.06,Workplace,Aurora,L5G
765-30-2617,35,M,South Asian,Non-Hispanic,23.4,118,77,108.5,J45.901,,outpatient,7.6,79.85,OHIP,Aurora,L3G
320-60-2646,79,F,Chinese,Hispanic,36.8,133,94,123.7,N39.0,,preventive,1.4,1073.07,Private,Keswick,L5G
191-21-6258,37,F,Other,Non-Hispanic,18.5,116,82,100.0,E66.9,Z96.641,outpatient,1.6,827.06,OHIP,Richmond Hill,L6G
766-32-2440,46,F,White,Non-Hispanic,20.8,132,79,181.2,J44.1,Z96.651,inpatient,2.5,1093.02,OHIP,Keswick,L3G
831-47-8713,66,M,Other,Non-Hispanic,33.8,155,73,101.6,I10,Z87.891,preventive,1.3,1270.65,OHIP,Richmond Hill,L3G
480-66-8173,29,M,White,Non-Hispanic,37.7,129,72,112.7,J06.9,Z87.891,inpatient,0.5,137.42,OHIP,Aurora,L3G
403-73-8543,56,M,White,Non-Hispanic,23.7,145,102,97.4,M54.5,,outpatient,1.5,1066.27,OHIP,Barrie,L3G
624-45-9142,75,F,White,Non-Hispanic,28.6,128,91,102.3,J06.9,Z87.891,outpatient,5.8,1621.41,Workplace,Barrie,L4G
169-42-1104,23,M,South Asian,Hispanic,36.7,121,93,105.6,J44.1,Z96.651,outpatient,1.1,1598.61,Private,Richmond Hill,L4G
815-66-4126,55,F,White,Hispanic,29.8,132,91,81.9,E11.9,Z87.891,emergency,2.3,147.87,OHIP,King,L6G
206-22-8904,56,F,South Asian,Non-Hispanic,26.0,132,81,127.6,E11.9,Z87.891,inpatient,7.6,2657.55,OHIP,Innisfil,L6G
406-62-3934,66,M,South Asian,Non-Hispanic,21.6,136,83,74.9,N39.0,Z82.49,telehealth,3.5,1112.58,OHIP,Bradford,L3G
124-90-6156,29,F,Black,Non-Hispanic,23.9,128,72,85.1,,,emergency,2.2,1295.51,OHIP,Innisfil,L4G
118-44-2845,28,M,Chinese,Hispanic,23.5,116,58,112.2,I50.9,,outpatient,2.7,227.05,OHIP,Georgina,L6G
529-15-1466,61,F,White,Hispanic,27.8,137,81,108.1,I10,Z82.49,outpatient,5.5,1649.97,OHIP,Bradford,L5G
996-80-2591,57,M,White,Non-Hispanic,28.4,134,90,178.0,I50.9,Z96.641,inpatient,6.4,84.04,Workplace,Barrie,L4G
867-92-5072,56,F,White,Non-Hispanic,23.9,123,74,120.6,F32.1,,telehealth,6.9,240.37,OHIP,Keswick,L4G
600-51-6978,58,F,White,Non-Hispanic,30.0,135,84,75.3,E11.9,Z96.641,outpatient,2.0,3040.88,OHIP,Bradford,L4G
393-35-6858,39,F,White,Non-Hispanic,28.1,126,82,91.9,E66.9,,preventive,1.0,1556.68,Self-pay,Barrie,L3G
414-93-6209,56,F,White,Non-Hispanic,24.9,131,72,99.1,ZZZ999,,outpatient,0.3,943.7,OHIP,Bradford,L5G
503-15-3498,57,F,White,Non-Hispanic,26.1,134,76,52.9,N39.0,Z79.4,outpatient,1.0,2064.11,Workplace,Barrie,L3G
877-21-6728,39,F,Other,Non-Hispanic,28.4,128,68,92.6,K21.0,,preventive,5.7,2243.59,OHIP,Georgina,L6G
249-71-4088,85,F,South Asian,Non-Hispanic,20.7,138,78,78.1,J44.1,,outpatient,4.4,1651.6,OHIP,Georgina,L5G
237-21-6627,60,F,White,Non-Hispanic,31.8,150,72,78.5,E78.5,Z96.651,emergency,1.5,512.39,OHIP,Newmarket,L3G
651-32-4751,30,M,South Asian,Hispanic,40.0,118,70,90.9,F41.1,Z82.49,outpatient,1.5,231.91,OHIP,Richmond Hill,L4G
173-83-3097,63,F,White,Non-Hispanic,37.2,134,96,67.6,J44.1,,preventive,0.7,300.04,OHIP,Barrie,L5G
109-13-1298,34,F,White,Non-Hispanic,37.4,158,70,82.9,N39.0,Z96.641,preventive,1.2,3614.49,OHIP,Aurora,L4G
438-14-5061,66,F,South Asian,Non-Hispanic,31.5,129,84,68.0,E78.5,Z96.651,preventive,2.5,143.94,OHIP,Bradford,L6G
573-43-6057,72,M,White,Non-Hispanic,32.6,129,81,96.9,I10,Z87.891,outpatient,1.0,1198.69,OHIP,Georgina,L5G
891-23-6289,37,F,White,Non-Hispanic,31.5,135,86,142.6,ZZZ999,Z96.651,outpatient,0.4,1200.91,OHIP,Aurora,L6G
112-38-9640,69,M,Other,Non-Hispanic,25.9,117,93,89.8,E11.9,Z82.49,inpatient,1.6,3872.55,Private,King,L6G
273-43-6251,59,F,Filipino,Non-Hispanic,24.4,131,86,109.9,J06.9,,outpatient,0.5,1196.88,Workplace,Keswick,L6G
639-92-2920,66,M,South Asian,Non-Hispanic,30.3,161,86,90.6,I50.9,Z79.4,inpatient,7.3,400.27,OHIP,Innisfil,L5G
974-22-2274,86,F,South Asian,Non-Hispanic,36.3,135,88,94.7,N39.0,,inpatient,1.0,407.9,Self-pay,Georgina,L6G
469-14-5983,47,F,South Asian,Non-Hispanic,24.7,109,67,81.4,E11.9,Z82.49,outpatient,4.8,660.54,OHIP,Aurora,L3G
605-41-8834,38,M,White,Non-Hispanic,21.7,109,89,150.4,M54.5,,emergency,0.5,2589.46,OHIP,Bradford,L3G
646-12-1259,35,F,White,Non-Hispanic,17.4,129,65,92.8,J45.901,,preventive,0.4,1750.79,OHIP,Barrie,L6G
234-86-6178,37,M,White,Non-Hispanic,27.6,137,80,90.9,ZZZ999,Z96.641,telehealth,1.9,180.76,Private,Georgina,L4G
173-10-5507,50,F,White,Non-Hispanic,26.9,126,87,120.6,J45.901,,outpatient,3.0,929.27,Workplace,Newmarket,L6G
414-62-8305,58,F,South Asian,Non-Hispanic,24.2,140,75,105.0,I50.9,Z96.641,outpatient,1.7,1790.62,OHIP,Richmond Hill,L6G
554-12-9423,56,F,White,Non-Hispanic,24.7,146,87,88.8,E11.9,Z96.651,outpatient,0.5,500.39,OHIP,East Gwillimbury,L4G
710-78-6516,66,F,Other,Non-Hispanic,27.2,155,88,97.1,I10,Z82.49,outpatient,0.1,50.0,OHIP,Georgina,L5G
848-49-3929,52,F,Latin American,Non-Hispanic,40.3,136,96,108.6,M54.5,Z96.641,outpatient,1.9,525.44,OHIP,Bradford,L5G
673-71-2530,78,M,Black,Non-Hispanic,26.7,119,81,102.8,K21.0,Z87.891,telehealth,0.3,111.92,OHIP,Barrie,L6G
621-96-1715,47,M,South Asian,Non-Hispanic,23.1,120,66,120.0,F41.1,Z87.891,outpatient,0.8,92.56,OHIP,Innisfil,L3G
417-86-8527,95,F,Filipino,Non-Hispanic,31.5,147,87,83.2,N39.0,Z79.4,outpatient,2.3,2387.97,OHIP,Bradford,L3G
340-65-6192,63,F,White,Hispanic,25.0,133,82,109.6,J44.1,Z96.651,outpatient,0.2,13701.17,OHIP,Richmond Hill,L3G
983-83-3140,36,F,Chinese,Non-Hispanic,30.1,125,76,88.7,I10,Z96.641,outpatient,0.3,3419.13,Private,Bradford,L6G
748-42-4671,32,F,White,Non-Hispanic,20.2,132,68,97.9,E78.5,Z79.4,outpatient,0.1,50.0,OHIP,Barrie,L3G
518-84-3598,60,M,Chinese,Non-Hispanic,24.9,147,65,86.6,I10,Z87.891,inpatient,11.1,540.44,OHIP,Newmarket,L3G
725-86-2944,47,F,White,Non-Hispanic,21.5,125,79,92.9,K21.0,Z79.4,outpatient,1.0,327.79,OHIP,Newmarket,L5G
981-89-4383,64,M,Filipino,Non-Hispanic,22.1,145,96,98.2,I10,,outpatient,4.7,113.85,Self-pay,Keswick,L6G
568-19-8010,60,F,Arab,Non-Hispanic,30.2,140,85,158.3,E11.9,Z79.4,outpatient,0.7,1161.92,OHIP,Barrie,L5G
670-37-7777,50,M,White,Hispanic,20.8,129,81,95.9,I10,Z96.641,inpatient,2.8,532.85,OHIP,Newmarket,L4G
731-50-1321,36,M,White,Non-Hispanic,30.4,136,80,57.7,I10,Z96.641,outpatient,0.5,164.53,OHIP,Innisfil,L5G
534-71-2693,24,M,Other,Non-Hispanic,28.0,122,75,104.6,N39.0,Z96.641,outpatient,1.4,56.4,OHIP,Newmarket,L6G
139-49-4261,43,M,White,Non-Hispanic,29.8,150,85,117.1,E11.9,Z96.651,telehealth,3.5,320.31,OHIP,Georgina,L3G
845-24-4811,67,F,Filipino,Non-Hispanic,20.3,120,84,93.7,Z00.00,,outpatient,3.4,671.48,OHIP,King,L6G
